"_5_digit_ntd_id","agency","max_reporter_type","max_organization_type","max_city","max_state","report_year","max_agency_voms","max_primary_uza_code","max_primary_uza_name","max_primary_uza_area_sq_miles","max_primary_uza_population","max_service_area_sq_miles","max_service_area_population","sum_actual_vehicles_passenger_car_miles","sum_actual_vehicles_passenger_car_revenue_miles","sum_actual_vehicles_passenger_deadhead_miles","sum_scheduled_vehicles_passenger_car_revenue_miles","sum_actual_vehicles_passenger_car_hours","sum_actual_vehicles_passenger_car_revenue_hours","sum_actual_vehicles_passenger_car_deadhead_hours","sum_charter_service_hours","sum_school_bus_hours","sum_trains_in_operation","sum_train_miles","sum_train_revenue_miles","sum_train_deadhead_miles","sum_train_hours","sum_train_revenue_hours","sum_train_deadhead_hours","sum_unlinked_passenger_trips_upt","sum_ada_upt","sum_sponsored_service_upt","sum_passenger_miles","sum_directional_route_miles"
"00022","City of Pocatello, dba: Pocatello Regional Transit","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Pocatello","ID","2023","24","70426","Pocatello, ID","27.46","72211","5460","175045","0","598740","0","0","0","35741","0",,,"0","0","0",,"0","0",,"189176",,"24381","0","0"
"00023","City of Seattle, dba: Seattle Center Monorail","Full Reporter","City, County or Local Government Unit or Department of Transportation","Seattle","WA","2023","8","80389","Seattle--Tacoma, WA","982.52","3544011","83","753655","227127","227127","0","227127","21272","21272","0",,,"0","56782","56782","0","5409","5409","0","2134977",,,"1921479","1.8"
"00024","Clark County Public Transportation Benefit Area Authority, dba: C-TRAN","Full Reporter","Independent Public Agency or Authority of Transit Service","Vancouver","WA","2023","161","71317","Portland, OR--WA","519.3","2104238","143","451875","6436013","5741990","694023","3917179","404531","372362","32169","0","0","0","0","0",,"0","0",,"4492306","222525","0","19621461","3.35"
"00025","Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Full Reporter","Independent Public Agency or Authority of Transit Service","Salem","OR","2023","150","78229","Salem, OR","72.68","268331","68","230118","4262252","3966031","296221","3051306","291997","272196","19801","0","0","0","0","0",,"0","0",,"3027255","77379","7419","11246133","0"
"00028","County of Pierce, dba: Pierce County Ferry","Full Reporter","City, County or Local Government Unit or Department of Transportation","Tacoma","WA","2023","2","80389","Seattle--Tacoma, WA","982.52","3544011","233","925708","44755","44755","0","45404","5285","5285","0","0",,"0","0","0",,"0","0",,"446539",,,"1762277","8.62"
"00029","Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","Everett","WA","2023","497","80389","Seattle--Tacoma, WA","982.52","3544011","255","910144","14130489","11173490","2956999","7321193","723836","616724","107112","0","0","0","0","0",,"0","0",,"7146008","120908","0","58898665","143.72"
"00030","Chickaloon Native Village, dba: Chickaloon Area Transit System (Transit)","Reduced Reporter","Tribe","Palmer","AK","2023","3","00002","Alaska Non-UZA","0","359299",,,"0","26418","0","0","0","1916","0",,,"0","0","0",,"0","0",,"2013",,"0","0","0"
"00031","Shoshone-Bannock Tribes","Reduced Reporter","Tribe","Fort Hall","ID","2023","7","00016","Idaho Non-UZA","0","836252",,"0","0","273650","0","0","0","14560","0",,,"0","0","0",,"0","0",,"24895",,,"0","0"
"00033","Senior Services of Snohomish County, dba: Homage Senior Services","Reduced Reporter","Private-Non-Profit Corporation","Lynnwood","WA","2023","12","80389","Seattle--Tacoma, WA","982.52","3544011","2196","827957","0","389822","0","0","0","18023","0",,,"0","0","0",,"0","0",,"17533",,"0","0","0"
"00034","Rogue Valley Transportation District","Full Reporter","Independent Public Agency or Authority of Transit Service","Medford","OR","2023","50","55981","Medford, OR","63.02","171640","78","180555","1760995","1635435","125560","1254117","122571","114286","8285","0","0","0","0","0",,"0","0",,"875282","28169","12737","4236166","0"
"00035","Washington State Ferries","Full Reporter","State Government Unit or Department of Transportation","Olympia","WA","2023","15","80389","Seattle--Tacoma, WA","982.52","3544011","1945","3919300","757270","755025","2245","761415","108573","108182","391",,,"0","0","0",,"0","0",,"18241119",,,"131769108","185.2"
"00036","Makah Tribal Council","Reduced Reporter","Tribe","Neah Bay","WA","2023","1","00053","Washington Non-UZA","0","1895776",,,"0","39675","0","0","0","2365","0",,,"0","0","0",,"0","0",,"3343",,,"0","0"
"00040","Central Puget Sound Regional Transit Authority, dba: Sound Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","Seattle","WA","2023","319","80389","Seattle--Tacoma, WA","982.52","3544011","1089","3349000","22944646","19825777","3118869","20384805","1131320","991646","139674",,,"0","2634934","2548193","86741","135383","127804","7579","37571636",,,"346306031","434.54"
"00041","Alaska Railroad Corporation","Full Reporter","State Government Unit or Department of Transportation","Anchorage","AK","2023","61","02305","Anchorage, AK","91.69","249252","266","352701","1214515","1203718","10797","1204076","47432","45230","2202",,,"0","194150","192461","1689","7928","7581","347","225434",,,"27930710","959.93"
"00043","Chelan Douglas PTBA , dba: Link Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","Wenatchee","WA","2023","61","93862","Wenatchee, WA","32.6","78142","197","122915","2798808","2644387","154421","2046952","148373","140730","7643",,,"0","0","0",,"0","0",,"1113038","72147",,"9761540","0"
"00044","Skagit Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","Burlington","WA","2023","73","60490","Mount Vernon, WA","30.66","66825","760","118568","2717762","2545084","172678","1544592","143691","135891","7800","0","0","0","0","0",,"0","0",,"573848","65767","0","7120242","0"
"00045","Fairbanks North Star Borough , dba: Metropolitan Area Commuter System","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Fairbanks","AK","2023","18","28549","Fairbanks, AK","74.3","71396","7338","95356","0","573896","0","0","0","39003","0",,,"0","0","0",,"0","0",,"291199",,"0","0","0"
"00046","City of Wilsonville, dba: South Metro Area Regional Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","Wilsonville","OR","2023","18","71317","Portland, OR--WA","519.3","2104238","80","73800","566193","533789","32404","497154","31415","28007","3408",,,"0","0","0",,"0","0",,"185195","5982",,"1207058","0"
"00047","City of Corvallis, dba: Corvallis Transit System","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Corvallis","OR","2023","10","20422","Corvallis, OR","17.45","66791","14","65483","0","355386","0","0","0","34591","0",,,"0","0","0",,"0","0",,"830608",,,"0","0"
"00048","City of Lewiston, dba: Lewiston Transit System","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Lewiston","ID","2023","4","49312","Lewiston, ID--WA","27.93","54798","17","54798","0","136284","0","0","0","10133","0",,,"0","0","0",,"0","0",,"44233",,"0","0","0"
"00051","Asotin County Public Transportation Benefit Area","Reduced Reporter","Independent Public Agency or Authority of Transit Service","Clarkston","WA","2023","13","49312","Lewiston, ID--WA","27.93","54798","20","22397","0","332117","0","0","0","17374","0",,,"0","0","0",,"0","0",,"78057",,"0","0","0"
"00053","Coeur d'Alene Tribe, dba: Citylink Transit","Reduced Reporter","Tribe","Plummer","ID","2023","7","18451","Coeur d'Alene, ID","46.76","121831","388","21188","0","651405","0","0","0","25561","0",,,"0","0","0",,"0","0",,"184013",,"0","0","0"
"00055","Kootenai County, dba: Citylink North","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Coeur D Alene","ID","2023","4","18451","Coeur d'Alene, ID","46.76","121831","32","90132","0","81969","0","0","0","6505","0",,,"0","0","0",,"0","0",,"13676",,"0","0","0"
"00057","Central Oregon Intergovernmental Council, dba: Cascades East Transit","Full Reporter","MPO, COG or Other Planning Agency","Bend","OR","2023","40","06868","Bend, OR","42.41","106988","78","156297","1115317","1050277","65040","787185","66886","62674","4212",,,"0","0","0",,"0","0",,"503039","24902",,"3520617","0"
"00058","City of Portland, dba: Portland Streetcar","Full Reporter","City, County or Local Government Unit or Department of Transportation","Portland","OR","2023","14","71317","Portland, OR--WA","519.3","2104238","11","99211","407276","406732","544","410851","72840","72433","407","0","0","0","379380","378836","544","69920","69513","407","3692695",,,"4413873","16.72"
"00059","Josephine County, dba: Josephine Community Transit","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Grants Pass","OR","2023","15","34516","Grants Pass, OR","30.42","55724","80","48000","0","527576","0","0","0","28589","0",,,"0","0","0",,"0","0",,"126939",,"0","0","0"
"00060","The Tulalip Tribes of Washington","Reduced Reporter","Tribe","Tulalip","WA","2023","1","00053","Washington Non-UZA","0","1895776","19","5303","0","11781","0","0","0","1362","0",,,"0","0","0",,"0","0",,"852",,,"0","0"
"00061","City of Albany, dba: Albany Transit System, Linn-Benton Loop","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Albany","OR","2023","14","00955","Albany, OR","23.05","62074","20","50724","0","406529","0","0","0","24655","0",,,"0","0","0",,"0","0",,"124764",,"0","0","0"
"00063","City of Milton-Freewater","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Milton Freewater","OR","2023","2",,,"0",,,,"0","32575","0","0","0","2324","0",,,"0","0","0",,"0","0",,"5635",,"0","0","0"
"00064","Valley Transit","Reduced Reporter","Independent Public Agency or Authority of Transit Service","Walla Walla","WA","2023","19","91405","Walla Walla, WA--OR","23.86","50013","25","48481","0","541321","0","0","0","40245","0",,,"0","0","0",,"0","0",,"475983",,"0","0","0"
"00065","Benton County, dba: Benton Area Transit","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Corvallis","OR","2023","13","20422","Corvallis, OR","17.45","66791","679","96017","0","317119","0","0","0","24036","0",,,"0","0","0",,"0","0",,"35186",,"0","0","0"
"00085","Gulkana Village Council, dba: Soaring Eagle Transit","Reduced Reporter","Tribe","Gakona","AK","2023","3","00002","Alaska Non-UZA","0","359299",,,"0","138256","0","0","0","4188","0",,,"0","0","0",,"0","0",,"2403",,"0","0","0"
"00095","Lummi Nation, dba: Lummi Transit","Reduced Reporter","Tribe","Bellingham","WA","2023","4","00053","Washington Non-UZA","0","1895776",,,"0","70327","0","0","0","5537","0",,,"0","0","0",,"0","0",,"18507",,,"0","0"
"00103","Squaxin Island Tribe, dba: Squaxin Island Transit","Reduced Reporter","Tribe","Shelton","WA","2023","4","00053","Washington Non-UZA","0","1895776",,,"0","33548","0","0","0","3092","0",,,"0","0","0",,"0","0",,"8230",,"0","0","0"
"00111","Confederated Tribes and Bands of The Yakama Nation, dba: Pahto Public Passage","Reduced Reporter","Tribe","Toppenish","WA","2023","6","00053","Washington Non-UZA","0","1895776","0","0","0","214706","0","0","0","7745","0",,,"0","0","0",,"0","0",,"18749",,"0","0","0"
"00119","Confederated Tribes of the Umatilla Indian Reservation, dba: Kayak Public Transit","Reduced Reporter","Tribe","Pendleton","OR","2023","7","00041","Oregon Non-UZA","0","1553447",,,"0","434082","0","0","0","17579","0",,,"0","0","0",,"0","0",,"66695",,,"0","0"
"00127","Cowlitz Indian Tribe, dba: Cowlitz Tribe Transit Service","Reduced Reporter","Tribe","Longview","WA","2023","7","00053","Washington Non-UZA","0","1895776","0","0","0","136038","0","0","0","4409","0",,,"0","0","0",,"0","0",,"6391",,"0","0","0"
"00135","Nez Perce Tribe, dba: Appaloosa Express","Reduced Reporter","Tribe","Lapwai","ID","2023","4","00016","Idaho Non-UZA","0","836252",,,"0","256339","0","0","0","7960","0",,,"0","0","0",,"0","0",,"7987",,"0","0","0"
"00143","Asa'carsarmiut Tribe, dba: Asa'carsarmiut Tribal Council Transit Service","Reduced Reporter","Tribe","Mountain Village","AK","2023","1","00002","Alaska Non-UZA","0","359299",,,"0","413","0","0","0","37","0",,,"0","0","0",,"0","0",,"110",,"0","0","0"
"00199","Seldovia Village Tribe, dba: Seldovia Bay Ferry","Reduced Reporter","Tribe","Seldovia","AK","2023","1","00002","Alaska Non-UZA","0","359299",,,"0","6720","0","0","0","315","0",,,"0","0","0",,"0","0",,"16538",,,"0","0"
"00207","Spokane Tribe of Indians, dba: The Moccasin Express","Reduced Reporter","Tribe","Wellpinit","WA","2023","11","00053","Washington Non-UZA","0","1895776",,,"0","468612","0","0","0","18889","0",,,"0","0","0",,"0","0",,"30937",,"0","0","0"
"00239","Ketchikan Indian Community","Reduced Reporter","Tribe","Ketchikan","AK","2023","4","00002","Alaska Non-UZA","0","359299",,,"0","11179","0","0","0","871","0",,,"0","0","0",,"0","0",,"2657",,"0","0","0"
"00279","Hydaburg Cooperative Association, dba: HCA transit","Reduced Reporter","Tribe","Hydaburg","AK","2023","2","00002","Alaska Non-UZA","0","359299",,,"0","25101","0","0","0","1644","0",,,"0","0","0",,"0","0",,"1336",,"0","0","0"
"00282","Garfield County Transportation Program, dba: Garfield County Transportation Authority","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Pomeroy","WA","2023","4",,,"0",,"248","409271","0","62585","0","0","0","4621","0",,,"0","0","0",,"0","0",,"12292",,"0","0","0"
"00285","Thurston Regional Planning Council, dba: ruralTRANSIT","Rural Reporter","MPO, COG or Other Planning Agency","Olympia","WA","2023","6",,,"0",,,,"0","247476","0","0","0","8466","0",,,"0","0","0",,"0","0",,"21657",,,"0","0"
"00286","Rural Resources Community Action","Rural Reporter","Private-Non-Profit Corporation","Colville","WA","2023","8",,,"0",,,,"0","236110","0","0","0","13225","0",,,"0","0","0",,"0","0",,"20502",,"0","0","0"
"00287","People for People Moses Lake","Rural Reporter","Private-Non-Profit Corporation","Yakima","WA","2023","25",,,"0",,,,"0","468237","0","0","0","24226","0",,,"0","0","0",,"0","0",,"18204",,"0","0","0"
"00290","City of Cottage Grove, dba: South Lane Wheels, Inc.","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Cottage Grove","OR","2023","7",,,"0",,,,"0","160904","0","0","0","9657","0",,,"0","0","0",,"0","0",,"19365",,"0","0","0"
"00294","City of Pullman, dba: Pullman Transit","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Pullman","WA","2023","18",,,"0",,,,"0","369444","0","0","0","32000","0",,,"0","0","0",,"0","0",,"763833",,"0","0","0"
"00296","Tillamook County Transportation District, dba: The Wave","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Tillamook","OR","2023","20",,,"0",,,,"0","987747","0","0","0","38121","0",,,"0","0","0",,"0","0",,"121604",,"6225","0","0"
"00297","People for People Yakima","Reduced Reporter","Private-Non-Profit Corporation","Yakima","WA","2023","17","97507","Yakima, WA","55.77","133145","4295","256643","0","433688","0","0","0","21166","0",,,"0","0","0",,"0","0",,"37085",,"0","0","0"
"00298","Island Transit","Rural Reporter","Independent Public Agency or Authority of Transit Service","Coupeville","WA","2023","53",,,"0",,,,"0","2212448","0","0","0","87334","0",,,"0","0","0",,"0","0",,"453706",,"0","0","0"
"00299","Klickitat County Senior Services, dba: Mount Adams Transportation Service","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Goldendale","WA","2023","14",,,"0",,,,"0","402163","0","0","0","17823","0",,,"0","0","0",,"0","0",,"18981",,"0","0","0"
"00300","City of Silverton, dba: Silver Trolley","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Silverton","OR","2023","2",,,"0",,,,"0","15111","0","0","0","2268","0",,,"0","0","0",,"0","0",,"6538",,"0","0","0"
"00301","South Clackamas Transportation District","Rural Reporter","Independent Public Agency or Authority of Transit Service","Molalla","OR","2023","4",,,"0",,,,"0","299887","0","0","0","12653","0",,,"0","0","0",,"0","0",,"30375",,,"0","0"
"00303","Clallam Transit System","Rural Reporter","Independent Public Agency or Authority of Transit Service","Port Angeles","WA","2023","53",,,"0",,,,"0","1986493","0","0","0","90808","0",,,"0","0","0",,"0","0",,"712935",,"0","0","0"
"00307","Coos County Area Transit","Rural Reporter","Independent Public Agency or Authority of Transit Service","Coos Bay","OR","2023","14",,,"0",,,,"0","285785","0","0","0","18906","0",,,"0","0","0",,"0","0",,"56997",,"2821","0","0"
"00308","Curry County Public Transit Service District, dba: Curry Public Transit Inc","Rural Reporter","Private Provider Reporting on Behalf of a Public Entity","Brookings","OR","2023","11",,,"0",,,,"0","248720","0","0","0","10860","0",,,"0","0","0",,"0","0",,"23479",,"93","0","0"
"00309","Grant County Transportation Authority, dba: Grant Transit Authority","Rural Reporter","Independent Public Agency or Authority of Transit Service","Moses Lake","WA","2023","43",,,"0",,,,"0","951449","0","0","0","42924","0",,,"0","0","0",,"0","0",,"165312",,"0","0","0"
"00310","Lincoln County Transportation Service District, dba: Lincoln County Transit","Rural Reporter","Independent Public Agency or Authority of Transit Service","Newport","OR","2023","13",,,"0",,,,"0","510713","0","0","0","29412","0",,,"0","0","0",,"0","0",,"257450",,"0","0","0"
"00311","Mountain Rides Transportation Authority","Rural Reporter","Independent Public Agency or Authority of Transit Service","Ketchum","ID","2023","33",,,"0",,,,"0","985610","0","0","0","42301","0",,,"0","0","0",,"0","0",,"733963",,"0","0","0"
"00312","Hopesource","Rural Reporter","Private-Non-Profit Corporation","Ellensburg","WA","2023","14",,,"0",,,,"0","443649","0","0","0","34462","0",,,"0","0","0",,"0","0",,"139273",,"4272","0","0"
"00313","Grant County Transportation District, dba: The People Mover","Rural Reporter","City, County or Local Government Unit or Department of Transportation","John Day","OR","2023","6",,,"0",,,,"0","287979","0","0","0","15144","0",,,"0","0","0",,"0","0",,"26302",,"1119","0","0"
"00314","Grays Harbor Transit","Rural Reporter","Independent Public Agency or Authority of Transit Service","Hoquiam","WA","2023","44",,,"0",,,,"0","1763879","0","0","0","87778","0",,,"0","0","0",,"0","0",,"830838",,"0","0","0"
"00315","Mason County Transportation Authority, dba: Mason Transit Authority","Rural Reporter","Independent Public Agency or Authority of Transit Service","Shelton","WA","2023","32",,,"0",,,,"0","813793","0","0","0","41110","0",,,"0","0","0",,"0","0",,"411055",,"0","0","0"
"00316","Jefferson Transit","Rural Reporter","Independent Public Agency or Authority of Transit Service","Port Townsend","WA","2023","13",,,"0",,,,"0","720290","0","0","0","29952","0",,,"0","0","0",,"0","0",,"231592",,"0","0","0"
"00317","Mt Si Senior Center, dba: Snoqualmie Valley Transportation","Rural Reporter","Private-Non-Profit Corporation","North Bend","WA","2023","9",,,"0",,,,"0","164477","0","0","0","12723","0",,,"0","0","0",,"0","0",,"20976",,"0","0","0"
"00319","Hood River County Transportation District, dba: Columbia Area Transit","Rural Reporter","Independent Public Agency or Authority of Transit Service","Hood River","OR","2023","14",,,"0",,,,"0","594151","0","0","0","18417","0",,,"0","0","0",,"0","0",,"79817",,"0","0","0"
"00321","Yamhill County, dba: Yamhill County Transit","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Mcminnville","OR","2023","26",,,"0",,,,"0","625218","0","0","0","34410","0",,,"0","0","0",,"0","0",,"188003",,"0","0","0"
"00322","Pacific Transit","Rural Reporter","Independent Public Agency or Authority of Transit Service","Raymond","WA","2023","13",,,"0",,,,"0","409000","0","0","0","15584","0",,,"0","0","0",,"0","0",,"63938",,"0","0","0"
"00323","Malheur Council on Aging and Community Services","Rural Reporter","Private-Non-Profit Corporation","Ontario","OR","2023","11",,,"0",,,,"0","166887","0","0","0","11593","0",,,"0","0","0",,"0","0",,"22798",,"8276","0","0"
"00327","Valley Transit","Reduced Reporter","Private-Non-Profit Corporation","Wasilla","AK","2023","10","92459","Wasilla--Knik-Fairview--North Lakes, AK","57.63","53444","25","53444","0","581646","0","0","0","25374","0",,,"0","0","0",,"0","0",,"48972",,"0","0","0"
"00330","City of Canby","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Canby","OR","2023","9","71317","Portland, OR--WA","519.3","2104238","23","37000","0","319093","0","0","0","19167","0",,,"0","0","0",,"0","0",,"82180",,"0","0","0"
"00331","Sunset Empire Transportation District","Rural Reporter","Independent Public Agency or Authority of Transit Service","Astoria","OR","2023","12",,,"0",,,,"0","766845","0","0","0","35246","0",,,"0","0","0",,"0","0",,"143761",,"2327","0","0"
"00332","Okanogan County Transportation & Nutrition","Rural Reporter","Private-Non-Profit Corporation","Omak","WA","2023","12",,,"0",,,,"0","349090","0","0","0","18780","0",,,"0","0","0",,"0","0",,"44883",,"1636","0","0"
"00333","Council on Aging & Human Services, dba: COAST Public Transportation","Rural Reporter","Private-Non-Profit Corporation","Colfax","WA","2023","19",,,"0",,"14","42230","0","257806","0","0","0","9956","0",,,"0","0","0",,"0","0",,"14707",,"14707","0","0"
"00336","Skamania County Senior Services","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Stevenson","WA","2023","11",,,"0",,,,"0","367563","0","0","0","15147","0",,,"0","0","0",,"0","0",,"24781",,"0","0","0"
"00339","Basin Transit Service, dba: Basin Transit Service Transportation District","Rural Reporter","Independent Public Agency or Authority of Transit Service","Klamath Falls","OR","2023","10",,,"0",,,,"0","391805","0","0","0","28065","0",,,"0","0","0",,"0","0",,"210857",,"0","0","0"
"00340","Senior Citizens of Kodiak, Inc., dba: Kodiak Area Transportation System","Rural Reporter","Private-Non-Profit Corporation","Kodiak","AK","2023","2",,,"0",,,,"0","38833","0","0","0","3653","0",,,"0","0","0",,"0","0",,"12996",,"0","0","0"
"00341","Selkirks-Pend Oreille Transit Authority","Rural Reporter","Independent Public Agency or Authority of Transit Service","Dover","ID","2023","9",,,"0",,,,"0","246419","0","0","0","16479","0",,,"0","0","0",,"0","0",,"161462",,"0","0","0"
"00343","Community Connection of Northeast Oregon, dba: NEOTransit","Rural Reporter","Private-Non-Profit Corporation","La Grande","OR","2023","20",,,"0",,,,"0","426206","0","0","0","22270","0",,,"0","0","0",,"0","0",,"70549",,"0","0","0"
